,Unnamed: 0,name,nba_career_length,Games,Points,Rebounds,Assists,FGP,FTP,EFGP,best_year,TFGP,WS,url,allstar
1640,1640,Steve Smith,14.0,122.0,18.5,6.1,3.7,48.7,75.6,53.1,3.0,41.6,,smithst01.html,True
1641,1641,Theron Smith,2.0,99.0,16.2,8.9,1.5,47.9,72.5,53.0,2.0,37.0,13.9,smithth01.html,False
1642,1642,Tony Smith,9.0,114.0,14.8,4.1,4.1,52.1,78.5,54.3,4.0,43.0,,smithto02.html,False
1643,1643,Willie Smith,4.0,58.0,23.9,5.6,,47.0,79.0,,4.0,,,smithwi02.html,False
1644,1644,Rik Smits,12.0,107.0,18.2,7.6,0.4,60.9,69.3,,2.0,,,smitsri01.html,True
1645,1645,Mike Smrek,7.0,108.0,9.1,5.2,0.8,57.8,60.3,,4.0,,,smrekmi01.html,False
1646,1646,Eric Snow,13.0,113.0,5.9,2.6,5.3,52.1,45.9,54.0,8.0,26.3,,snower01.html,False
1647,1647,Dick Snyder,13.0,43.0,5.4,3.5,,42.7,59.7,,1.0,,,snydedi01.html,False
1648,1648,Kirk Snyder,4.0,84.0,16.7,6.4,2.7,42.6,67.7,47.3,2.0,31.0,9.9,snydeki01.html,False
1649,1649,Ricky Sobers,11.0,54.0,15.8,3.8,5.0,48.2,80.9,,3.0,,,soberri01.html,False
1650,1650,Mike Sojourner,3.0,57.0,14.2,12.9,,52.3,59.5,,1.0,,,sojoumi01.html,False
1651,1651,Will Solomon,2.0,94.0,15.2,2.8,2.6,39.2,71.7,48.2,1.0,36.6,7.3,solomwi01.html,False
1652,1652,Darius Songaila,8.0,130.0,14.3,6.3,1.8,51.1,83.1,51.6,3.0,34.3,19.3,songada01.html,False
1653,1653,Pape Sow,3.0,72.0,15.8,9.1,0.8,46.8,66.7,48.0,2.0,29.4,7.8,sowpa01.html,False
1654,1654,Jim Spanarkel,5.0,114.0,17.6,4.0,3.5,52.7,80.6,,2.0,,,spanaji01.html,False
1655,1655,Rory Sparrow,12.0,124.0,9.5,2.2,,52.5,79.2,,9.0,,,sparrro01.html,False
1656,1656,Marreese Speights,10.0,69.0,9.5,5.4,0.5,63.3,68.8,63.3,9.0,,8.9,speigma01.html,False
1657,1657,Andre Spencer,2.0,55.0,14.6,5.4,1.7,60.1,64.0,,1.0,,,spencan01.html,False
1658,1658,Elmore Spencer,5.0,70.0,10.6,5.9,1.5,60.3,51.6,60.3,2.0,0.0,,spencel01.html,False
1659,1659,Felton Spencer,12.0,134.0,8.7,5.2,0.7,62.8,67.6,62.8,1.0,,,spencfe01.html,False
1660,1660,Latrell Sprewell,13.0,68.0,13.5,5.1,2.0,49.9,74.0,55.2,2.0,39.9,,sprewla01.html,True
1661,1661,Larry Spriggs,5.0,83.0,14.9,8.7,,52.1,56.9,,4.0,,,sprigla01.html,False
1662,1662,Ryan Stack,2.0,120.0,6.5,4.2,0.8,47.3,69.0,52.4,2.0,36.2,,stackry01.html,False
1663,1663,Jerry Stackhouse,18.0,69.0,15.7,6.6,2.3,49.6,72.0,52.3,7.0,35.5,,stackje01.html,True
1664,1664,Bud Stallworth,5.0,82.0,18.2,6.7,,44.7,69.8,,2.0,,,stallbu01.html,False
1665,1665,Dave Stallworth,8.0,79.0,24.3,10.5,,53.2,75.2,,1.0,,,stallda01.html,False
1666,1666,Terence Stansbury,3.0,115.0,15.7,3.4,2.4,45.6,76.0,,2.0,,,stanste01.html,False
1667,1667,John Starks,13.0,30.0,15.4,4.7,4.6,49.7,83.8,56.3,4.0,38.0,,starkjo01.html,True
1668,1668,Larry Steele,9.0,75.0,10.4,6.7,,48.1,77.9,,1.0,,,steella01.html,False
1669,1669,Matt Steigenga,1.0,124.0,10.5,4.3,1.8,54.0,72.5,55.7,1.0,41.0,,steigma01.html,False
1670,1670,Everette Stephens,2.0,119.0,8.8,2.0,4.0,49.9,72.2,,1.0,,,stephev01.html,False
1671,1671,Joe Stephens,3.0,85.0,7.6,4.4,0.8,41.4,67.7,43.8,3.0,30.2,,stephjo01.html,False
1672,1672,Alex Stepheson,1.0,137.0,5.9,5.6,0.2,52.0,49.7,52.0,1.0,,9.3,stephal01.html,False
1673,1673,Brook Steppe,5.0,77.0,14.4,3.7,1.7,51.6,78.3,,2.0,,,steppbr01.html,False
1674,1674,Kebu Stewart,1.0,43.0,18.0,10.8,0.8,49.0,63.8,49.1,1.0,20.0,,stewake01.html,False
1675,1675,Michael Stewart,8.0,117.0,4.3,4.7,0.3,51.0,48.7,51.0,1.0,,,stewami01.html,False
1676,1676,Greg Stiemsma,4.0,95.0,2.7,2.3,0.8,54.5,75.9,54.5,2.0,0.0,8.3,stiemgr01.html,False
1677,1677,Steve Stipanovich,5.0,128.0,14.3,7.7,1.8,53.8,72.1,,4.0,,,stipast01.html,False
1678,1678,Bryant Stith,10.0,131.0,19.2,6.6,1.6,48.3,78.9,51.5,4.0,35.3,,stithbr01.html,False
1679,1679,Alex Stivrins,2.0,111.0,10.7,8.0,2.8,50.7,57.3,,2.0,,,stivral01.html,False
1680,1680,Ed Stokes,1.0,121.0,8.1,5.3,0.5,51.5,62.4,51.5,1.0,,,stokeed01.html,False
1681,1681,Greg Stokes,2.0,120.0,14.7,6.7,1.1,54.5,64.6,,1.0,,,stokegr01.html,False
1682,1682,Jarnell Stokes,3.0,87.0,13.0,9.6,1.5,53.0,62.8,53.0,1.0,0.0,12.7,stokeja01.html,False
1683,1683,Julyan Stone,4.0,138.0,5.8,5.5,5.2,42.5,61.7,46.9,1.0,26.5,13.8,stoneju01.html,False
1684,1684,Awvee Storey,3.0,102.0,9.0,6.2,2.5,45.9,61.3,46.1,3.0,20.0,6.2,storeaw01.html,False
1685,1685,Damon Stoudamire,13.0,123.0,15.0,3.8,5.4,45.7,80.4,55.8,2.0,40.2,,stoudda01.html,False
1686,1686,Salim Stoudamire,3.0,129.0,15.2,2.2,2.0,47.1,87.0,60.2,1.0,45.8,17.0,stoudsa01.html,False
1687,1687,D.J. Strawberry,1.0,111.0,10.1,3.3,2.9,46.1,64.0,50.1,1.0,33.0,10.1,strawdj01.html,False
1688,1688,Erick Strickland,9.0,127.0,12.5,4.0,3.3,43.9,77.6,51.2,4.0,34.9,,stricer01.html,False
1689,1689,Mark Strickland,8.0,95.0,7.5,6.1,0.2,50.9,41.4,50.9,3.0,0.0,,stricma01.html,False
1690,1690,Rod Strickland,17.0,87.0,16.6,3.4,6.4,53.4,62.6,,10.0,,,stricro02.html,False
1691,1691,John Stroeder,2.0,98.0,9.7,5.9,,50.7,68.8,,1.0,,,stroejo01.html,False
1692,1692,Derek Strong,10.0,96.0,13.4,8.4,0.7,57.3,80.2,57.3,6.0,,,stronde01.html,False
1693,1693,Rodney Stuckey,10.0,59.0,24.4,4.7,4.8,47.2,80.6,52.0,4.0,31.7,8.3,stuckro01.html,False
1694,1694,Jared Sullinger,5.0,74.0,17.3,9.7,1.2,53.0,73.3,54.1,4.0,36.5,16.2,sullija01.html,False
1695,1695,DaJuan Summers,4.0,101.0,11.2,4.4,1.3,43.9,72.7,52.6,2.0,35.3,10.9,summeda01.html,False
1696,1696,Jon Sundvold,9.0,128.0,12.5,2.0,3.0,49.3,84.8,,1.0,,,sundvjo01.html,False
1697,1697,Bob Sura,10.0,119.0,17.9,6.0,3.7,45.0,65.2,51.6,2.0,33.6,,surabo01.html,False
1698,1698,Greg Sutton,3.0,28.0,21.9,4.3,3.2,37.9,65.6,45.3,1.0,33.1,,suttogr01.html,False
1699,1699,Mike Sweetney,4.0,96.0,18.2,9.2,1.8,54.4,72.7,54.4,3.0,0.0,21.0,sweetmi01.html,False
1700,1700,Stromile Swift,9.0,50.0,13.4,7.0,0.7,56.0,61.3,56.9,2.0,24.2,9.2,swiftst01.html,False
1701,1701,Wally Szczerbiak,10.0,105.0,17.6,6.3,2.2,51.2,80.9,59.0,2.0,43.1,22.7,szczewa02.html,True
1702,1702,Chris Taft,1.0,65.0,12.0,7.5,1.1,56.9,56.4,56.9,1.0,,11.4,taftch01.html,False
1703,1703,Roy Tarpley,6.0,122.0,13.1,7.8,1.1,52.2,77.4,,2.0,,,tarplro01.html,False
1704,1704,Earl Tatum,4.0,103.0,12.0,5.5,1.5,47.8,69.8,,2.0,,,tatumea01.html,False
1705,1705,Anthony Taylor,1.0,115.0,16.9,4.0,2.6,47.0,79.5,,1.0,,,tayloan01.html,False
1706,1706,Brian Taylor,10.0,51.0,24.3,6.0,,51.0,76.3,,1.0,,,taylobr01.html,True
1707,1707,Donell Taylor,2.0,65.0,11.6,3.7,2.4,47.3,73.2,52.7,1.0,34.1,7.0,taylodo01.html,False
1708,1708,Isaiah Taylor,2.0,92.0,13.6,3.1,4.5,40.4,79.2,42.1,2.0,29.4,9.5,taylois01.html,False
1709,1709,Jay Taylor,1.0,115.0,16.7,4.3,2.5,51.3,74.3,,1.0,,,tayloja01.html,False
1710,1710,Jeff Taylor,3.0,115.0,12.4,3.4,2.2,50.9,77.9,,3.0,,,tayloje03.html,False
